Id,Label,Total characters,Digit percentage,Letter percentage,Uppercase percentage,Total number of sentences,Char frequency - a_x,Char frequency - b_x,Char frequency - c_x,Char frequency - d_x,Char frequency - e_x,Char frequency - f_x,Char frequency - g_x,Char frequency - h_x,Char frequency - i_x,Char frequency - j_x,Char frequency - k_x,Char frequency - l_x,Char frequency - m_x,Char frequency - n_x,Char frequency - o_x,Char frequency - p_x,Char frequency - q_x,Char frequency - r_x,Char frequency - s_x,Char frequency - t_x,Char frequency - u_x,Char frequency - v_x,Char frequency - w_x,Char frequency - x_x,Char frequency - y_x,Char frequency - z_x,Common char bigram 1,Common char bigram 2,Common char bigram 3,Common char bigram 4,Common char bigram 5,Common char bigram 6,Common char bigram 7,Common char bigram 8,Common char bigram 9,Common char bigram 10,Common char bigram 11,Common char bigram 12,Common char bigram 13,Common char bigram 14,Common char bigram 15,Common char bigram 16,Common char bigram 17,Common char bigram 18,Common char bigram 19,Common char bigram 20,Common char bigram 21,Common char bigram 22,Common char bigram 23,Common char bigram 24,Common char bigram 25,Common char bigram 26,Common char bigram 27,Common char bigram 28,Common char bigram 29,Common char bigram 30,Common char bigram 31,Common char bigram 32,Common char bigram 33,Common char bigram 34,Common char bigram 35,Common char bigram 36,Common char bigram 37,Common char bigram 38,Common char bigram 39,Common char bigram 40,Common char trigram 1,Common char trigram 2,Common char trigram 3,Common char trigram 4,Common char trigram 5,Common char trigram 6,Common char trigram 7,Common char trigram 8,Common char trigram 9,Common char trigram 10,Common char trigram 11,Common char trigram 12,Common char trigram 13,Common char trigram 14,Common char trigram 15,Common char trigram 16,Common char trigram 17,Common char trigram 18,Common char trigram 19,Common char trigram 20,Common char trigram 21,Common char trigram 22,Common char trigram 23,Common char trigram 24,Common char trigram 25,Common char trigram 26,Common char trigram 27,Common char trigram 28,Common char trigram 29,Common char trigram 30,Common char trigram 31,Common char trigram 32,Common char trigram 33,Common char trigram 34,Common char trigram 35,Common char trigram 36,Common char trigram 37,Common char trigram 38,Common char trigram 39,Common char trigram 40,Digit frequency - 0,Digit frequency - 1,Digit frequency - 2,Digit frequency - 3,Digit frequency - 4,Digit frequency - 5,Digit frequency - 6,Digit frequency - 7,Digit frequency - 8,Digit frequency - 9,Char frequency - a_y,Char frequency - b_y,Char frequency - c_y,Char frequency - d_y,Char frequency - e_y,Char frequency - f_y,Char frequency - g_y,Char frequency - h_y,Char frequency - i_y,Char frequency - j_y,Char frequency - k_y,Char frequency - l_y,Char frequency - m_y,Char frequency - n_y,Char frequency - o_y,Char frequency - p_y,Char frequency - q_y,Char frequency - r_y,Char frequency - s_y,Char frequency - t_y,Char frequency - u_y,Char frequency - v_y,Char frequency - w_y,Char frequency - x_y,Char frequency - y_y,Char frequency - z_y,Total words,Average words per sentence,Average POS types per sentence,POS to unique words ratio,Total stopwords,Average stopwords per sentence,Most frequent POS unigrams 1,Most frequent POS unigrams 2,Most frequent POS unigrams 3,Most frequent POS unigrams 4,Most frequent POS unigrams 5,Most frequent POS unigrams 6,Most frequent POS unigrams 7,Most frequent POS unigrams 8,Most frequent POS unigrams 9,Most frequent POS unigrams 10,Most frequent POS unigrams 11,Most frequent POS unigrams 12,Most frequent POS unigrams 13,Most frequent POS unigrams 14,Most frequent POS unigrams 15,Most frequent POS unigrams 16,Most frequent POS unigrams 17,Most frequent POS unigrams 18,Most frequent POS unigrams 19,Most frequent POS unigrams 20,Most frequent POS unigrams 21,Most frequent POS unigrams 22,Most frequent POS unigrams 23,Most frequent POS unigrams 24,Most frequent POS unigrams 25,Most frequent POS unigrams 26,Most frequent POS unigrams 27,Most frequent POS unigrams 28,Most frequent POS unigrams 29,Most frequent POS unigrams 30,Most frequent POS unigrams 31,Most frequent POS unigrams 32,Most frequent POS bigrams 1,Most frequent POS bigrams 2,Most frequent POS bigrams 3,Most frequent POS bigrams 4,Most frequent POS bigrams 5,Most frequent POS bigrams 6,Most frequent POS bigrams 7,Most frequent POS bigrams 8,Most frequent POS bigrams 9,Most frequent POS bigrams 10,Most frequent POS bigrams 11,Most frequent POS bigrams 12,Most frequent POS bigrams 13,Most frequent POS bigrams 14,Most frequent POS bigrams 15,Most frequent POS bigrams 16,Most frequent POS trigrams 1,Most frequent POS trigrams 2,Most frequent POS trigrams 3,Most frequent POS trigrams 4,Most frequent POS trigrams 5,Most frequent POS trigrams 6,Most frequent POS trigrams 7,Most frequent POS trigrams 8,Total sentences,Average sentence length
108,Chatgpt,2284,0.0008756567425569177,0.8012259194395797,0.009194395796847636,20,171,29,53,82,200,38,39,62,148,3,13,75,33,148,167,32,1,113,98,164,39,35,31,4,52,0,71,63,57,45,38,34,34,34,33,33,33,32,30,29,29,28,28,28,27,26,26,26,26,25,24,24,23,23,23,23,22,21,21,21,20,19,18,18,18,17,28,27,27,27,23,20,19,19,18,18,18,17,17,16,16,15,15,14,14,14,14,14,14,13,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,1,0,0,0,1,0,0,0,0,0,171,29,53,82,200,38,39,62,148,3,13,75,33,148,167,32,1,113,98,164,39,35,31,4,52,0,410,20.5,20.6,2.675324675324675,217,10.85,62,46,44,35,30,29,27,26,19,18,18,18,10,10,9,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,18,16,15,12,12,12,10,9,9,9,8,8,7,7,6,7,7,7,7,7,6,6,5,20,113.25
109,Chatgpt,2229,0.0,0.8281740690892777,0.008075370121130552,13,145,28,54,98,247,12,41,100,129,1,11,101,24,111,149,38,3,95,102,178,84,38,20,1,35,1,85,65,55,50,43,40,37,35,33,33,30,30,27,27,27,26,26,26,25,24,24,23,23,23,21,21,21,21,21,20,19,19,19,18,18,18,17,17,17,16,41,29,27,21,21,19,18,17,16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,145,28,54,98,247,12,41,100,129,1,11,101,24,111,149,38,3,95,102,178,84,38,20,1,35,1,359,27.615384615384617,27.615384615384617,2.7404580152671754,184,14.153846153846153,58,39,37,34,30,29,21,21,20,16,13,10,7,4,4,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,18,14,12,12,12,12,11,11,11,10,9,9,9,8,8,8,12,7,6,6,6,5,5,5,13,170.53846153846155
11,Chatgpt,1519,0.0,0.803818301514154,0.007899934167215274,12,108,17,65,30,133,32,12,51,91,0,11,52,28,97,89,28,1,80,83,111,38,10,21,4,27,2,39,38,38,33,30,30,26,25,24,22,22,22,20,20,20,18,18,17,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13,12,12,12,12,12,12,24,20,16,14,13,12,11,11,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,108,17,65,30,133,32,12,51,91,0,11,52,28,97,89,28,1,80,83,111,38,10,21,4,27,2,267,22.25,22.5,2.125984251968504,137,11.416666666666666,48,36,31,28,22,14,13,11,11,10,10,10,5,5,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19,14,13,13,13,9,9,8,7,6,6,5,5,5,5,5,13,9,6,5,5,5,5,4,12,125.66666666666667
110,Chatgpt,2110,0.0,0.818957345971564,0.008056872037914692,16,149,27,60,74,219,45,46,71,145,0,11,82,28,153,125,38,0,101,94,124,49,34,25,8,20,0,62,57,48,45,43,42,41,39,36,32,30,30,28,26,25,25,24,23,22,21,21,21,21,20,20,20,20,19,19,18,17,16,16,16,16,16,15,15,15,15,29,29,24,24,23,21,20,15,15,14,14,13,13,13,13,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,0,0,0,0,0,0,0,0,0,0,149,27,60,74,219,45,46,71,145,0,11,82,28,153,125,38,0,101,94,124,49,34,25,8,20,0,351,21.9375,21.9375,2.279220779220779,174,10.875,46,45,33,31,26,24,24,22,18,14,14,12,11,7,6,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,18,15,12,10,10,10,9,9,8,7,7,7,7,6,6,6,7,6,5,5,5,5,4,4,16,130.9375
111,Chatgpt,1591,0.0,0.8189817724701446,0.00754242614707731,11,102,16,59,42,163,30,18,59,105,1,1,50,27,136,111,35,1,64,64,135,35,10,21,3,15,0,51,49,36,35,34,33,33,32,32,29,28,26,23,21,20,20,19,19,19,18,18,17,17,16,15,15,14,14,13,13,13,13,12,12,12,12,11,11,11,11,31,30,19,17,16,16,16,14,13,13,13,13,12,12,12,11,11,11,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,0,0,0,0,0,0,0,0,0,0,102,16,59,42,163,30,18,59,105,1,1,50,27,136,111,35,1,64,64,135,35,10,21,3,15,0,259,23.545454545454547,24.09090909090909,2.190082644628099,121,11.0,41,30,28,27,21,19,16,14,10,9,8,8,7,6,6,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,16,13,12,9,9,9,8,7,7,7,6,6,6,6,6,5,7,6,6,6,5,5,5,5,11,143.72727272727272
112,Chatgpt,1715,0.0,0.8157434402332362,0.010495626822157435,15,106,24,35,64,190,34,29,49,119,6,4,57,37,139,117,47,1,85,67,103,18,14,26,4,23,1,57,45,43,40,38,34,34,33,25,25,24,24,24,23,23,22,22,21,20,20,20,20,20,19,19,18,18,18,18,17,16,16,15,15,15,14,14,14,14,13,24,21,20,18,18,17,17,17,16,14,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,106,24,35,64,190,34,29,49,119,6,4,57,37,139,117,47,1,85,67,103,18,14,26,4,23,1,284,18.933333333333334,19.0,2.28,134,8.933333333333334,52,39,31,24,21,20,20,15,12,9,8,8,8,5,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,15,12,12,12,10,9,8,8,7,7,7,7,7,5,5,5,6,6,4,4,4,4,4,3,15,113.4
113,Chatgpt,2282,0.0,0.8041191936897458,0.010517090271691499,17,153,28,44,86,234,57,31,76,148,1,3,78,52,153,155,57,2,102,105,137,38,27,33,4,30,1,88,64,57,56,43,42,40,38,35,29,28,27,27,27,27,26,26,26,25,25,25,24,23,22,22,21,21,21,20,20,19,19,18,18,18,18,18,18,18,17,30,28,23,21,19,18,18,18,17,17,17,17,17,16,16,16,15,15,15,14,14,14,14,14,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,10,0,0,0,0,0,0,0,0,0,0,153,28,44,86,234,57,31,76,148,1,3,78,52,153,155,57,2,102,105,137,38,27,33,4,30,1,408,24.0,24.11764705882353,2.6451612903225805,212,12.470588235294118,64,58,45,45,33,26,24,19,17,16,10,8,8,8,5,5,4,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,31,17,15,14,14,14,13,11,10,9,8,8,8,7,6,6,12,9,8,7,7,6,6,6,17,133.2941176470588
114,Chatgpt,2079,0.0,0.8263588263588264,0.006253006253006253,12,150,25,73,75,191,22,30,90,132,0,6,100,41,126,148,51,0,100,92,157,42,20,18,3,26,0,59,56,48,43,41,35,35,31,31,30,29,28,27,26,25,24,24,24,23,23,23,22,22,21,20,20,20,19,19,19,19,18,17,17,17,17,17,16,16,16,34,26,23,22,21,18,18,16,16,14,14,14,14,14,14,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,150,25,73,75,191,22,30,90,132,0,6,100,41,126,148,51,0,100,92,157,42,20,18,3,26,0,335,27.916666666666668,28.0,2.5454545454545454,160,13.333333333333334,57,46,42,28,23,23,19,18,15,14,9,8,5,5,5,4,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,19,17,16,10,9,9,9,8,8,7,7,6,6,6,6,6,8,7,7,6,6,6,5,5,12,172.33333333333334
115,Chatgpt,1780,0.0,0.8252808988764045,0.007865168539325843,14,129,14,65,57,161,29,24,55,122,1,3,45,33,139,116,25,0,84,110,139,51,25,16,1,25,0,45,44,43,39,38,32,31,28,27,27,27,27,26,26,24,22,22,21,20,19,19,19,19,19,18,17,17,17,17,17,17,16,15,15,15,15,15,15,14,13,30,30,22,18,16,16,16,15,14,14,14,13,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,129,14,65,57,161,29,24,55,122,1,3,45,33,139,116,25,0,84,110,139,51,25,16,1,25,0,280,20.0,20.071428571428573,2.112781954887218,133,9.5,58,39,35,29,22,21,15,12,11,11,7,4,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,23,22,18,17,10,10,9,7,7,6,6,6,6,4,4,4,12,11,10,9,6,5,5,5,14,126.21428571428571
116,Chatgpt,2732,0.0,0.8195461200585652,0.006222547584187409,17,197,27,78,110,265,63,48,95,172,0,8,97,54,198,160,60,3,108,141,148,88,30,27,8,53,1,82,82,57,54,50,50,48,45,41,39,37,35,34,33,32,31,31,31,31,28,27,25,25,25,24,24,23,23,23,22,21,21,21,21,20,20,20,20,20,19,36,34,30,28,27,25,22,22,22,20,19,19,18,17,17,17,17,16,16,16,16,16,16,15,14,14,14,14,14,14,14,13,13,13,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,197,27,78,110,265,63,48,95,172,0,8,97,54,198,160,60,3,108,141,148,88,30,27,8,53,1,445,26.176470588235293,26.176470588235293,2.7639751552795033,203,11.941176470588236,76,57,54,54,49,30,25,21,10,10,9,8,8,7,7,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,26,24,22,20,19,18,18,17,16,13,12,10,10,8,7,7,15,12,11,11,10,10,8,7,17,159.76470588235293
